product_id,product_name,category,price,stock
261,Rechargeable Nail Polish,Beauty,877.46,2259
648,Stainless Steel Bed Frame,Furniture,327.62,1349
815,Smart Guitar Strings,Music,N/A,3259
767,Stainless Steel Puzzle,Toys,307.78,3411
688,Smart Bed Frame,Furniture,909.4,2944
381,Wireless Desk Organizer,Office Supplies,98.65,2309
108,Eco-Friendly Garden Hose,Garden,528.26,4675
924,Compact Sofa Cover,Furniture,860.16,3246
623,Deluxe Coffee Beans,Grocery,499.57,113
804,Eco-Friendly Tea Box,Grocery,56.83,4566
453,Pro Plant Pot,Garden,free,4089
17,Deluxe Dash Cam,Automotive,943.69,1293
69,Eco-Friendly Rice Bag,Grocery,842.76,4041
172,Eco-Friendly Hair Dryer,Beauty,169.16,372
758,Classic Sweater,Clothing,194.47,1052
354,Ultra Vinyl Record,Music,676.54,3244
916,Basic Webcam,Electronics,480.57,4676
265,Portable Pet Bed,Pet Supplies,974.0,1170
526,Wireless Puzzle,Toys,958.23,4922
545,Ultra Microphone,Music,945.07,2570
783,Rechargeable Seat Cover,Automotive,293.39,1007
511,Stainless Steel Pruning Shears,Garden,892.9,4112
339,Stainless Steel Face Cream,Beauty,140.12,615
905,Wireless Air Freshener,Automotive,324.2,2675
579,Portable Microphone,Music,451.72,4560
624,Deluxe Sofa Cover,Furniture,887.92,3328
35,Basic Guitar Strings,Music,36.05,2685
747,Smart Yoga Mat,Sports & Outdoors,76.84,95
466,Heavy Duty Honey Jar,Grocery,870.57,454
495,Smart Cutting Board,Home & Kitchen,665.36,4086
290,Rechargeable Novel,Books,138.09,454
860,Premium Journal,Books,N/A,2893
122,Heavy Duty Lipstick,Beauty,103.41,4126
430,Basic Action Figure,Toys,177.38,2400
327,Lightweight Car Charger,Automotive,138.78,3291
712,Basic Desk Organizer,Office Supplies,935.96,4034
963,Eco-Friendly Sweater,Clothing,865.14,4065
368,Eco-Friendly Hair Dryer,Beauty,375.08,1606
218,Wireless Jeans,Clothing,620.73,4934
879,Classic Garden Hose,Garden,517.14,2900
654,Deluxe Water Bottle,Sports & Outdoors,558.53,1174
477,Pro Tent,Sports & Outdoors,550.67,3917
825,Lightweight Hair Dryer,Beauty,204.18,1005
415,Lightweight Watering Can,Garden,587.22,529
891,Heavy Duty Laptop Stand,Electronics,573.73,1730
410,DELUXE BOARD GAME,Toys,852.68,3884
940,Lightweight Puzzle,Toys,948.53,4137
165,Wireless Plant Pot,Garden,456.98,2595
757,Ultra Pen Set,Office Supplies,47.19,3856
371,Eco-Friendly Toaster,Home & Kitchen,540.48,679
667,Compact Cutting Board,Home & Kitchen,450.75,3518
212,Portable Notebook,Books,489.27,2192
18,Eco-Friendly Webcam,Electronics,852.94,3511
715,Deluxe Bookshelf,Furniture,233.73,3783
401,Portable Face Mask,Health,532.88,4771
969,Heavy Duty Pruning Shears,Garden,966.08,909
118,Classic Laptop Stand,Electronics,404.42,229
762,Ultra Sofa Cover,Furniture,807.88,944
458,Eco-Friendly Comic Book,Books,671.33,1937
45,Ultra Novel,Books,532.76,4712
209,Pro Comic Book,Books,101.8,1608
388,Deluxe Vitamin Pack,Health,663.04,503
461,Ultra Office Chair,Furniture,320.75,4957
312,Pro Chew Toy,Pet Supplies,952.28,618
365,Smart Guitar Strings,Music,221.98,-10
730,Pro Router,Electronics,466.64,256
289,Pro Building Blocks,Toys,625.14,3860
123,Basic Bed Frame,Furniture,142.29,1594
666,Compact Perfume,Beauty,453.22,1997
480,Eco-Friendly Pet Bed,Pet Supplies,23.14,527
717,Lightweight Knife Set,Home & Kitchen,826.78,1416
257,Compact First Aid Kit,Health,455.36,1688
152,Stainless Steel Drum Sticks,Music,314.67,594
303,Heavy Duty Pen Set,Office Supplies,11.87,1281
227,Portable Water Bottle,Sports & Outdoors,908.83,3288
517,Eco-Friendly Fish Tank Filter,Pet Supplies,166.77,622
171,Smart Chew Toy,Pet Supplies,7.07,1293
380,Heavy Duty Puzzle,Toys,225.93,2988
559,Premium Stapler,Office Supplies,929.32,1894
816,Wireless Bed Frame,Furniture,645.5,2936
267,Heavy Duty Face Mask,Health,123.45,2652
27,Eco-Friendly Novel,Books,253.88,4890
849,Lightweight Nail Polish,Beauty,904.8,1045
279,Eco-Friendly Tea Box,Grocery,463.73,1109
748,Eco-Friendly Power Bank,Electronics,772.15,1906
351,Heavy Duty Lipstick,Beauty,851.14,4196
874,Rechargeable Seat Cover,Automotive,207.25,2161
958,Ultra Fish Tank Filter,Pet Supplies,448.3,3617
464,Pro Shampoo,Beauty,925.83,440
678,Premium Cookbook,Books,194.22,3250
13,Smart Face Cream,Beauty,775.78,1882
390,Heavy Duty Comic Book,Books,846.71,1420
941,Wireless Bookshelf,Furniture,684.29,688
30,Lightweight Vitamin Pack,Health,356.05,4117
683,Deluxe Car Charger,Automotive,400.12,2290
728,Wireless Stapler,Office Supplies,832.16,2754
911,Premium Smartwatch,Electronics,120.13,3224
960,Pro Plant Pot,Garden,611.97,4819
363,Smart Face Cream,Beauty,746.75,2645
859,Ultra Action Figure,Toys,831.55,858
796,Lightweight Scarf,Clothing,866.65,4755
126,Wireless Water Bottle,Sports & Outdoors,960.54,1722
547,Smart Shampoo,Beauty,188.75,983
481,Lightweight Journal,Books,546.61,4388
168,Premium Toaster,Home & Kitchen,821.31,1473
535,Compact Cat Litter,Pet Supplies,731.41,4871
195,Pro Whiteboard,Office Supplies,279.57,4341
585,Stainless Steel Doll,Toys,503.6,3482
142,Wireless Pet Bed,Pet Supplies,75.62,21
828,Portable Garden Hose,Garden,244.07,666
193,Rechargeable Pasta Pack,Grocery,715.25,242
330,Smart Bicycle Helmet,Sports & Outdoors,807.1,4980
331,Classic Dog Leash,Pet Supplies,853.27,4160
73,Wireless Water Bottle,Sports & Outdoors,36.88,4124
362,Heavy Duty Microphone,Music,253.91,4457
96,Ultra Fertilizer Bag,Garden,153.7,2462
826,Rechargeable Coffee Maker,Home & Kitchen,120.84,4772
233,Heavy Duty Tea Box,Grocery,802.56,3476
918,Smart Tent,Sports & Outdoors,259.98,401
441,Wireless Office Chair,Furniture,4.51,3910
781,Wireless Pen Set,Office Supplies,856.28,3267
955,Premium Honey Jar,Grocery,324.0,2246
864,Heavy Duty Laptop Stand,Electronics,70.87,874
611,Eco-Friendly Seat Cover,Automotive,295.35,1147
156,Stainless Steel Smartwatch,Electronics,684.4,1252
137,Wireless Pruning Shears,Garden,572.46,739
810,Deluxe Olive Oil,Grocery,666.02,4112
603,Premium Pen Set,Office Supplies,705.65,3608
665,Pro Car Charger,Automotive,783.77,1240
638,Wireless Face Cream,,834.85,2068
954,Rechargeable Lipstick,Beauty,573.66,1685
315,Wireless Coffee Beans,Grocery,766.05,2057
620,Heavy Duty Pruning Shears,Garden,633.25,2590
385,Basic Fish Tank Filter,Pet Supplies,53.26,3477
506,Lightweight Honey Jar,Grocery,772.74,4489
805,Portable Fertilizer Bag,Garden,983.97,2246
521,Eco-Friendly Thermometer,Health,437.81,1679
669,Lightweight Vinyl Record,Music,510.41,1012
980,Portable Power Bank,Electronics,free,3680
197,Lightweight Pasta Pack,Grocery,280.66,3099
357,Portable Microphone,Music,795.02,1066
452,Classic Coffee Beans,Grocery,N/A,3887
246,Premium Thermometer,Health,707.18,2278
83,Smart Whiteboard,Office Supplies,149.2,2647
908,Premium Action Figure,Toys,969.83,2132
112,Lightweight Knife Set,Home & Kitchen,698.26,3209
2,Smart Coffee Table,Furniture,856.35,4754
707,Portable Journal,Books,57.23,3714
356,Compact Tire Gauge,Automotive,876.06,4616
771,Stainless Steel Tent,Sports & Outdoors,944.12,438
258,Wireless First Aid Kit,Health,994.9,3976
841,Premium Cookware Set,Home & Kitchen,977.6,2697
419, Basic Cutting Board,Home & Kitchen,199.51,4779
533,Lightweight Vinyl Record,Music,564.31,4252
801,Lightweight Stapler,Office Supplies,684.7,4066
328,Heavy Duty Car Charger,Automotive,754.93,4927
345,Lightweight Fish Tank Filter,Pet Supplies,839.75,4790
128,Compact Fish Tank Filter,Pet Supplies,213.66,4723
673,Portable Plant Pot,Garden,419.12,2839
718,Heavy Duty Knife Set,Home & Kitchen,671.77,1430
305,Wireless Pasta Pack,Grocery,95.78,1564
119,Smart Cookbook,Books,153.63,3889
205,Deluxe Notebook,Books,404.24,1120
309,Eco-Friendly Notebook,Books,28.37,3136
394,Classic Toaster,Home & Kitchen,214.5,1851
157,Lightweight Drum Sticks,Music,526.49,1597
5,Deluxe Chew Toy,Pet Supplies,N/A,1947
69,Eco-Friendly Rice Bag,Grocery,842.76,4041
784,Portable Lipstick,Beauty,273.78,1413
100,Smart Shampoo,Beauty,545.51,1659
974,Lightweight Water Bottle,Sports & Outdoors,326.13,3032
141,Lightweight Shampoo,Beauty,971.19,-24
899,Premium Whiteboard,Office Supplies,337.61,1792
12,Basic Jacket,Clothing,461.56,3400
555,Lightweight Honey Jar,Grocery,,2744
602, Deluxe Plant Pot,Garden,345.57,3004
84,Eco-Friendly Coffee Maker,Home & Kitchen,655.9,4944
900,Ultra Perfume,Beauty,637.0,1059
38,Lightweight Bed Frame,Furniture,734.24,334
159,Lightweight Olive Oil,Grocery,70.93,125
582,Premium Coffee Beans,Grocery,871.24,3490
414,Rechargeable Cat Litter,Pet Supplies,575.68,2380
887,Classic Coffee Table,Furniture,744.45,209
49,Deluxe Backpack,Sports & Outdoors,106.7,4775
125,Rechargeable Shampoo,Beauty,541.5,4392
132,Deluxe Shampoo,Beauty,398.73,1999
809,Heavy Duty Whiteboard,Office Supplies,251.24,4939
245,Stainless Steel Watering Can,Garden,370.12,3810
725,Lightweight First Aid Kit,Health,430.5,3275
836,Compact Pet Bed,Pet Supplies,908.51,829
200,Wireless Chew Toy,Pet Supplies,106.67,54
881,Deluxe Watering Can,Garden,323.5,1923
14,Pro Face Cream,Beauty,532.69,4381
538,Eco-Friendly Coffee Beans,Grocery,324.45,2984
803,Ultra Tire Gauge,Automotive,836.18,2631
283,Eco-Friendly Air Freshener,Automotive,275.25,3952
953,Heavy Duty Garden Hose,Garden,399.4,3910
528,Classic Fish Tank Filter,Pet Supplies,183.95,3923
952,Premium Honey Jar,Grocery,645.26,3904
886,Pro Face Mask,Health,96.47,854
863,Eco-Friendly Toaster,Home & Kitchen,650.72,4225
463,Premium Novel,Books,653.16,1645
89,Eco-Friendly Doll,Toys,496.21,303
531,Smart Air Freshener,Automotive,457.0,3024
412,Smart Car Charger,Automotive,993.68,4665
104,Ultra Keyboard Stand,Music,935.74,2055
645,Wireless Car Charger,Automotive,596.35,3973
470,Classic Bed Frame,Furniture,931.24,3954
772,Heavy Duty Air Freshener,Automotive,741.18,40
529,Heavy Duty Board Game,Toys,485.18,1941
695,Deluxe Cookware Set,Home & Kitchen,639.59,4507
347,Rechargeable Face Cream,Beauty,580.19,3
396,Heavy Duty Keyboard Stand,Music,452.93,1486
780,Premium Building Blocks,Toys,66.93,522
402,Pro Chew Toy,Pet Supplies,766.67,4007
832,Pro Shampoo,Beauty,462.38,951
440,Pro USB Cable,Electronics,648.28,3584
776,Basic Jeans,Clothing,128.78,1746
921,Heavy Duty Remote Car,Toys,387.19,1728
889,Wireless Cat Litter,Pet Supplies,686.27,1887
173,Lightweight Pet Bed,Pet Supplies,60.35,1867
191,Wireless Puzzle,Toys,472.37,1896
935,Pro Stapler,Office Supplies,962.54,1873
656,Wireless Textbook,Books,939.06,2949
363,Smart Face Cream,Beauty,746.75,2645
124,Pro Kettle,Home & Kitchen,N/A,488
204,Premium Pen Set,Office Supplies,308.56,4758
793,Portable Bookshelf,Furniture,281.6,3461
87,Eco-Friendly Backpack,Sports & Outdoors,478.15,
207,Compact Pasta Pack,Grocery,691.02,3527
36,Wireless Car Charger,Automotive,17.58,742
525,Portable Olive Oil,Grocery,116.33,4384
787,Basic Tent,Sports & Outdoors,397.87,3575
710,Classic Headphones,Electronics,846.05,3204
409,Basic Coffee Maker,Home & Kitchen,57.88,2598
934,Rechargeable Drum Sticks,Music,771.12,831
909,Stainless Steel Power Bank,Electronics,88.12,3030
774,Eco-Friendly Keyboard Stand,Music,883.33,731
637,Premium Scarf,Clothing,894.17,1413
429,Smart Pen Set,Office Supplies,695.7,1502
111,Stainless Steel Garden Hose,Garden,962.65,1826
273,Compact Pasta Pack,Grocery,482.11,4
853,Compact Plant Pot,Garden,868.91,3317
907,Rechargeable Plant Pot,Garden,730.09,2158
450,Classic Vinyl Record,Music,716.12,2968
462,Eco-Friendly Pet Bed,Pet Supplies,889.05,3284
553,Rechargeable Thermometer,Health,439.31,3152
423,Deluxe Headphones,Electronics,743.25,1457
751,Compact Notebook,Books,266.31,1964
943,Rechargeable Dog Leash,Pet Supplies,799.73,1983
574,Lightweight Yoga Mat,Sports & Outdoors,192.72,372
760,Compact First Aid Kit,Health,395.88,999
382,Ultra Thermometer,Health,76.47,1777
606,Compact Bookshelf,Furniture,627.5,189
56,Rechargeable Rice Bag,Grocery,432.2,3172
658,Rechargeable Action Figure,Toys,967.85,2965
300,  Lightweight Fish Tank Filter  ,Pet Supplies,935.59,4588
944,Basic Chew Toy,Pet Supplies,130.05,2285
340,Stainless Steel Cookware Set,Home & Kitchen,432.15,3670
811,Compact Watering Can,Garden,836.67,2972
607,Ultra Hair Dryer,Beauty,682.88,3149
576,Smart Garden Hose,Garden,109.88,3179
269,Stainless Steel Pasta Pack,Grocery,227.11,164
28,Wireless Power Bank,Electronics,987.77,4503
144,Stainless Steel Toaster,Home & Kitchen,576.42,622
850,Deluxe Bookshelf,Furniture,242.01,849
217,Stainless Steel Chew Toy,Pet Supplies,239.41,247
593,Compact Building Blocks,Toys,330.56,4367
114,Stainless Steel Dog Leash,Pet Supplies,503.54,2249
518,  Ultra Puzzle  ,Toys,488.6,1935
551,Rechargeable Journal,Books,939.65,2027
187,Rechargeable Vinyl Record,Music,497.34,866
629,Classic Shampoo,Beauty,441.15,915
232,Stainless Steel Plant Pot,Garden,685.8,4147
756,Heavy Duty Water Bottle,Sports & Outdoors,445.74,664
349,Classic Face Mask,Health,419.29,2899
978,Rechargeable Cookbook,Books,340.58,2224
78,Lightweight Tent,Sports & Outdoors,880.85,525
304,Premium Coffee Table,Furniture,563.66,4354
400,Eco-Friendly Air Freshener,Automotive,995.29,1861
926,Smart Hoodie,Clothing,42.88,3854
694,Smart Chew Toy,Pet Supplies,640.35,1079
430,Basic Action Figure,Toys,177.38,2400
301,Compact Tent,Sports & Outdoors,410.83,2582
459,Compact Scarf,Clothing,861.11,3615
120,Basic Notebook,Books,305.2,74
355,Deluxe Doll,Toys,,2881
427,Heavy Duty Bed Frame,Furniture,101.31,114
505,Eco-Friendly Board Game,Toys,82.6,1737
627,Smart Jacket,Clothing,99.09,447
792,Lightweight Dash Cam,Automotive,349.99,2768
617,Pro Plant Pot,Garden,38.24,2924
979,Pro Blender,Home & Kitchen,905.01,2735
432,Rechargeable Coffee Table,Furniture,517.96,367
168,Premium Toaster,Home & Kitchen,821.31,1473
600,Ultra First Aid Kit,Health,247.34,3326
938,Deluxe Board Game,Toys,415.34,2080
761,Heavy Duty Bicycle Helmet,Sports & Outdoors,944.07,4281
912,Lightweight Sticky Notes,Office Supplies,318.35,4888
977,Eco-Friendly Face Mask,Health,942.43,3358
445,Heavy Duty Pet Bed,Pet Supplies,154.53,738
53,Heavy Duty Bicycle Helmet,Sports & Outdoors,622.77,4830
224,Ultra Pet Bed,Pet Supplies,481.09,3692
234,Ultra Vinyl Record,Music,104.01,2623
186,Classic Yoga Mat,Sports & Outdoors,974.68,2231
870,  Basic Olive Oil  ,Grocery,252.83,2183
873,Stainless Steel Dumbbell Set,Sports & Outdoors,358.33,4159
785,Pro Doll,Toys,986.76,571
92,Portable Fish Tank Filter,Pet Supplies,,2651
375,Stainless Steel Kettle,Home & Kitchen,822.52,1099
562,Portable Board Game,Toys,19.14,2492
243,Deluxe Sofa Cover,Furniture,625.83,3312
923,Premium Water Bottle,Sports & Outdoors,284.56,4518
928,Basic Jacket,Clothing,892.82,3146
966,Rechargeable Pen Set,Office Supplies,653.81,1741
706,Deluxe Seat Cover,Automotive,293.39,3625
57,Rechargeable Cat Litter,Pet Supplies,728.86,4728
893,Stainless Steel Blender,Home & Kitchen,18.02,3039
235,Compact Tire Gauge,Automotive,234.29,2025
888,Heavy Duty Bookshelf,Furniture,208.34,934
42,Pro Pen Set,Office Supplies,497.91,1998
8,Ultra First Aid Kit,Health,348.96,3279
222,Ultra Office Chair,Furniture,982.98,3758
817,Premium Knife Set,Home & Kitchen,329.9,2902
15,Compact Router,Electronics,4.21,1145
20,Portable Sticky Notes,Office Supplies,297.7,2049
166,Pro Tent,Sports & Outdoors,811.03,1398
563,Pro Stapler,Office Supplies,353.5,4094
236,Deluxe Building Blocks,Toys,35.44,4407
63,Basic Desk Organizer,Office Supplies,624.8,3667
129,Classic Kettle,Home & Kitchen,545.96,1450
782,Pro Vitamin Pack,Health,894.7,3585
25,Heavy Duty Bed Frame,Furniture,480.14,2602
413,Portable Tire Gauge,Automotive,718.56,642
945,Stainless Steel Pruning Shears,Garden,713.38,1287
471,Lightweight Drum Sticks,Music,802.5,2596
769,Stainless Steel Olive Oil,Grocery,741.97,2160
201,Smart Car Charger,Automotive,5.07,3574
240,Lightweight Kettle,Home & Kitchen,588.29,963
334,Pro Car Charger,Automotive,722.68,395
509, Heavy Duty Board Game,Toys,279.03,4702
306,Ultra Backpack,Sports & Outdoors,583.99,4474
549,Lightweight Tire Gauge,Automotive,630.5,3855
561,Heavy Duty Dumbbell Set,Sports & Outdoors,518.48,2831
942,Portable Whiteboard,Office Supplies,188.07,551
598,Compact Headphones,Electronics,290.62,935
296,Stainless Steel Face Mask,Health,76.52,4506
651,Wireless Board Game,Toys,845.39,2213
599,Deluxe USB Cable,Electronics,372.05,3824
514,Premium Puzzle,Toys,325.5,1348
136,Premium Remote Car,Toys,517.26,2326
40,Heavy Duty Guitar Strings,Music,212.4,4148
274,Compact Olive Oil,Grocery,881.75,4715
220,Heavy Duty Doll,Toys,204.5,3682
421,Pro Office Chair,Furniture,480.51,1259
786,Wireless Dog Leash,Pet Supplies,878.95,3875
485,Lightweight Cap,Clothing,415.72,696
650,Wireless Router,Electronics,661.08,991
818,Heavy Duty Power Bank,Electronics,921.97,1254
788,Stainless Steel Cookware Set,Home & Kitchen,753.75,1194
736,Wireless Bed Frame,Furniture,21.82,399
469,Pro Chew Toy,Pet Supplies,633.07,2018
422,Premium Garden Hose,Garden,47.34,1010
3,Portable Watering Can,Garden,672.05,2097
672,Wireless Coffee Table,Furniture,608.47,1588
653,Wireless Dumbbell Set,Sports & Outdoors,157.88,2893
499,Pro Air Freshener,Automotive,685.39,4311
259,Compact Sofa Cover,Furniture,896.48,3070
532,Lightweight Face Cream,Beauty,857.69,666
677,Eco-Friendly Nail Polish,Beauty,897.91,4107
372,Heavy Duty Garden Hose,Garden,342.76,2083
591,Lightweight Building Blocks,Toys,6.49,3620
33,Eco-Friendly Garden Hose,Garden,839.67,3437
131,Stainless Steel Perfume,Beauty,875.55,1748
74,Portable Bookshelf,Furniture,680.69,
151,Deluxe Fish Tank Filter,Pet Supplies,909.32,3110
901,Compact Router,Electronics,906.84,280
642,Pro Bed Frame,Furniture,597.48,3023
317,Eco-Friendly Bed Frame,Furniture,688.8,917
130,Lightweight Dash Cam,Automotive,652.28,2371
262,Classic Tea Box,Grocery,510.44,3780
211,Rechargeable Cookware Set,Home & Kitchen,648.75,549
91,Smart Laptop Stand,Electronics,736.15,554
766,Wireless Jacket,Clothing,702.76,4102
939,Wireless Microphone,Music,381.89,3435
337,Deluxe Desk Organizer,Office Supplies,778.66,561
534,Classic Pasta Pack,Grocery,494.55,4406
575,Eco-Friendly Hair Dryer,Beauty,450.36,531
729,Smart Seat Cover,Automotive,494.61,316
630,Classic Kettle,Home & Kitchen,221.77,884
877,Premium Air Freshener,Automotive,806.64,1116
962,Compact Pet Bed,Pet Supplies,344.81,1725
169,Deluxe Dash Cam,Automotive,358.79,1482
557,Premium Backpack,Sports & Outdoors,445.63,1150
898,Classic Webcam,Electronics,835.05,4714
732,Deluxe Garden Hose,Garden,631.44,637
920,Eco-Friendly Doll,Toys,257.48,2939
726,Rechargeable Hair Dryer,Beauty,524.9,3916
558,Compact Bed Frame,Furniture,945.34,222
276,Compact Pet Bed,Pet Supplies,999.57,3756
272,Eco-Friendly Guitar Strings,Music,683.18,4048
476,Lightweight Hair Dryer,Beauty,602.71,787
323,Deluxe T-Shirt,Clothing,272.32,885
716,Deluxe Textbook,Books,890.13,1426
253,Premium Novel,Books,727.53,2558
208,Wireless Hair Dryer,Beauty,947.32,420
384,Pro Nail Polish,Beauty,428.95,3839
75,Eco-Friendly Face Cream,Beauty,439.87,4340
723,Heavy Duty Coffee Table,Furniture,547.66,470
138,Wireless Shampoo,Beauty,853.74,1823
320,Lightweight Face Mask,Health,337.71,1238
659,Rechargeable Garden Hose,Garden,483.05,54
383,Pro Toaster,Home & Kitchen,701.26,4330
914,Stainless Steel Hoodie,Clothing,260.09,642
674,Compact Sticky Notes,Office Supplies,988.22,3303
47,Premium Hoodie,Clothing,352.42,1030
919,Stainless Steel Headphones,Electronics,296.27,184
376,Premium Vinyl Record,Music,91.12,3722
139,Portable Dog Leash,Pet Supplies,942.98,500
135,Portable Car Charger,Automotive,944.87,3319
964,Smart Dog Leash,Pet Supplies,794.26,3444
731,Premium Sofa Cover,,732.68,946
167,Pro Sofa Cover,Furniture,168.75,4743
436,Eco-Friendly Dumbbell Set,Sports & Outdoors,465.17,3665
696,Rechargeable Thermometer,Health,958.42,3491
337,Deluxe Desk Organizer,Office Supplies,778.66,561
378,Wireless Knife Set,Home & Kitchen,365.08,145
722,Eco-Friendly Dash Cam,Automotive,788.15,2957
206,Lightweight Hair Dryer,Beauty,709.56,3957
568,Wireless Whiteboard,Office Supplies,10.62,2697
496,Wireless Board Game,Toys,677.02,2629
867,Smart Garden Hose,Garden,6.6,3639
251,Wireless Doll,Toys,5.76,484
467,Rechargeable Pet Bed,Pet Supplies,909.81,885
182,Pro Watering Can,Garden,526.2,1565
684,Compact Car Charger,Automotive,252.15,1107
442,Rechargeable Jacket,Clothing,511.71,3382
403,Rechargeable Dash Cam,Automotive,300.19,129
344,Rechargeable Router,Electronics,809.39,4171
502,Pro Plant Pot,Garden,678.77,4447
291,Eco-Friendly Chew Toy,PET SUPPLIES,441.01,3325
39,Stainless Steel Bluetooth Speaker,Electronics,581.37,455
485,Lightweight Cap,Clothing,415.72,696
11,Stainless Steel Face Cream,Beauty,120.11,2332
727,Classic Pet Bed,Pet Supplies,978.14,2994
189,Stainless Steel Seat Cover,Automotive,214.16,3999
608,Lightweight Remote Car,Toys,310.17,1982
647,Lightweight Fertilizer Bag,Garden,195.16,2019
50,Portable Stapler,Office Supplies,756.54,4924
404,Heavy Duty Watering Can,Garden,333.56,4815
589,Stainless Steel Pasta Pack,,352.17,2914
842,Basic Bookshelf,Furniture,959.39,2703
288,Eco-Friendly Desk Organizer,Office Supplies,910.59,1946
530,Compact Tea Box,Grocery,82.58,1820
546,Basic Vinyl Record,Music,543.3,4672
407,Ultra Webcam,Electronics,702.6,2002
56,Rechargeable Rice Bag,Grocery,432.2,3172
516,Eco-Friendly Kettle,Home & Kitchen,29.83,3917
972,Classic Vitamin Pack,Health,370.73,2310
838,Premium Action Figure,Toys,441.25,1953
691,Rechargeable Webcam,Electronics,186.21,3113
266,Pro Backpack,Sports & Outdoors,591.52,3523
829,Eco-Friendly Cookware Set,Home & Kitchen,487.84,1122
571,Basic Bicycle Helmet,Sports & Outdoors,479.04,3583
451,Heavy Duty Bicycle Helmet,Sports & Outdoors,728.59,3110
133,Eco-Friendly USB Cable,Electronics,45.23,3842
573,Pro Router,Electronics,699.26,196
346,Ultra Microphone,Music,78.09,1410
504,Heavy Duty Webcam,Electronics,595.95,2129
113,Portable Cookware Set,Home & Kitchen,686.3,2053
705,Eco-Friendly Seat Cover,Automotive,553.91,3205
795,Wireless Board Game,Toys,327.11,1913
808,Wireless Cookbook,Books,703.17,3040
397,Wireless Rice Bag,Grocery,364.34,2777
619,Pro USB Cable,Electronics,N/A,4506
583,Ultra Thermometer,Health,38.72,4335
740,Portable Whiteboard,Office Supplies,80.49,3176
318,Eco-Friendly Notebook,Books,764.12,3249
750,Classic Bicycle Helmet,Sports & Outdoors,90.22,3540
174,Wireless Thermometer,Health,-750.7,4916
975,Portable Nail Polish,Beauty,492.39,2188
663,Portable Cutting Board,Home & Kitchen,208.3,267
359,Stainless Steel Cookware Set,Home & Kitchen,728.41,4526
484,Compact Air Freshener,Automotive,701.43,3067
675,Wireless Hair Dryer,Beauty,710.33,4944
154,Classic Air Freshener,Automotive,986.79,1809
386,Heavy Duty Nail Polish,Beauty,959.83,2105
341,Lightweight Chew Toy,Pet Supplies,260.87,4142
515,Premium Socks,Clothing,321.87,-31
915,Classic Building Blocks,Toys,738.64,4414
548,Stainless Steel Bed Frame,Furniture,3.59,4014
51,Premium Doll,Toys,579.3,1360
428,Premium Whiteboard,Office Supplies,5.06,2172
448,Lightweight Desk Organizer,Office Supplies,989.6,413
497,Basic Router,Electronics,153.86,4259
507,Portable Perfume,Beauty,830.66,2422
281,Classic Coffee Maker,Home & Kitchen,314.42,588
613,Heavy Duty Guitar Strings,Music,41.75,1809
416,Pro Cap,Clothing,440.19,1881
775,Eco-Friendly Olive Oil,Grocery,107.4,301
155,Stainless Steel Cat Litter,Pet Supplies,79.39,2860
60,Smart Seat Cover,Automotive,463.02,2377
417,Basic Pen Set,Office Supplies,54.98,2300
336,Lightweight Face Mask,Health,,4835
